message,author,timestamp,category,sentiment,keyword_mentioned,message_length
"I just loved a story! It was weird.","Charlie","2025-02-13 18:17:05","other",0.05,"other",35
"I just tried game! It was weird.","Charlie","2025-02-13 18:17:10","gaming",0.06,"game",32
"I just saw game! It was amazing.","Charlie","2025-02-13 18:17:15","gaming",0.91,"game",32
"I just shared recipe! It was funny.","Eve","2025-02-13 18:17:20","food",0.83,"recipe",35
"I just saw game! It was weird.","Bob","2025-02-13 18:17:25","gaming",0.33,"game",30
"I just shared recipe! It was weird.","Bob","2025-02-13 18:17:30","food",0.39,"recipe",35
"I just shared recipe! It was exciting.","Bob","2025-02-13 18:17:35","food",0.02,"recipe",38
"I just tried a trick! It was funny.","Bob","2025-02-13 18:17:40","other",0.49,"other",35
"I just shared a story! It was amazing.","Charlie","2025-02-13 18:17:45","other",0.73,"other",38
"I just tried a movie! It was exciting.","Charlie","2025-02-13 18:17:50","entertainment",0.02,"movie",38
"I just tried recipe! It was funny.","Eve","2025-02-13 18:17:55","food",0.13,"recipe",34
"I just tried a trick! It was amazing.","Bob","2025-02-13 18:18:00","other",0.03,"other",37
"I just loved game! It was funny.","Alice","2025-02-13 18:18:05","gaming",0.65,"game",32
"I just saw a meme! It was boring.","Bob","2025-02-13 18:18:10","humor",0.76,"meme",33
"I just loved a trick! It was exciting.","Bob","2025-02-13 18:18:15","other",0.32,"other",38
"I just loved a trick! It was amazing.","Alice","2025-02-13 18:18:20","other",0.3,"other",37
"I just saw a story! It was funny.","Charlie","2025-02-13 18:18:25","other",0.26,"other",33
"I just tried Python! It was exciting.","Eve","2025-02-13 18:18:30","tech",0.63,"Python",37
"I just saw travel! It was amazing.","Eve","2025-02-13 18:18:35","travel",0.41,"travel",34
"I just found travel! It was amazing.","Alice","2025-02-13 18:18:40","travel",0.84,"travel",36
"I just shared game! It was funny.","Bob","2025-02-13 18:18:45","gaming",0.34,"game",33
"I just loved a story! It was amazing.","Charlie","2025-02-13 18:18:50","other",0.42,"other",37
"I just saw a movie! It was amazing.","Alice","2025-02-13 18:18:55","entertainment",0.95,"movie",35
"I just found an app! It was boring.","Eve","2025-02-13 18:19:00","other",0.97,"other",35
"I just loved game! It was exciting.","Charlie","2025-02-13 18:19:05","gaming",0.27,"game",35
"I just tried recipe! It was exciting.","Alice","2025-02-13 18:19:10","food",0.75,"recipe",37
"I just found a trick! It was funny.","Bob","2025-02-13 18:19:15","other",0.99,"other",35
"I just tried a story! It was weird.","Bob","2025-02-13 18:19:20","other",0.6,"other",35
"I just shared an app! It was boring.","Bob","2025-02-13 18:19:25","other",0.72,"other",36
"I just saw a story! It was boring.","Alice","2025-02-13 18:19:30","other",0.92,"other",34
"I just loved a meme! It was exciting.","Alice","2025-02-13 18:19:35","humor",0.02,"meme",37
"I just saw a story! It was amazing.","Bob","2025-02-13 18:19:40","other",0.53,"other",35
"I just shared a story! It was amazing.","Alice","2025-02-13 18:19:45","other",0.72,"other",38
"I just tried a trick! It was funny.","Charlie","2025-02-13 18:19:50","other",0.07,"other",35
"I just loved JavaScript! It was funny.","Eve","2025-02-13 18:19:55","tech",0.8,"JavaScript",38
"I just found travel! It was amazing.","Alice","2025-02-13 18:20:00","travel",0.81,"travel",36
"I just shared JavaScript! It was funny.","Alice","2025-02-13 18:20:05","tech",0.42,"JavaScript",39
"I just shared a meme! It was boring.","Alice","2025-02-13 18:20:10","humor",0.84,"meme",36
"I just found a trick! It was boring.","Eve","2025-02-13 18:20:15","other",0.81,"other",36
"I just loved a movie! It was funny.","Charlie","2025-02-13 18:20:20","entertainment",0.33,"movie",35
"I just shared a trick! It was weird.","Charlie","2025-02-13 18:20:25","other",0.89,"other",36
"I just tried an app! It was funny.","Charlie","2025-02-13 18:20:30","other",0.11,"other",34
"I just found Python! It was exciting.","Bob","2025-02-13 18:20:35","tech",0.69,"Python",37
"I just found an app! It was exciting.","Charlie","2025-02-13 18:20:40","other",0.23,"other",37
"I just found a story! It was weird.","Eve","2025-02-13 18:20:45","other",0.62,"other",35
"I just shared Python! It was exciting.","Eve","2025-02-13 18:20:50","tech",0.38,"Python",38
"I just found a movie! It was funny.","Eve","2025-02-13 18:20:55","entertainment",0.21,"movie",35
"I just loved JavaScript! It was exciting.","Alice","2025-02-13 18:21:00","tech",0.1,"JavaScript",41
"I just found a story! It was amazing.","Alice","2025-02-13 18:21:05","other",0.15,"other",37
"I just shared an app! It was weird.","Alice","2025-02-13 18:21:10","other",0.51,"other",35
"I just found a movie! It was exciting.","Alice","2025-02-13 18:21:15","entertainment",0.44,"movie",38
"I just shared a story! It was exciting.","Charlie","2025-02-13 18:21:20","other",0.12,"other",39
"I just loved recipe! It was amazing.","Alice","2025-02-13 18:21:25","food",0.08,"recipe",36
"I just found a story! It was boring.","Bob","2025-02-13 18:21:30","other",0.02,"other",36
"I just tried a trick! It was boring.","Bob","2025-02-13 18:21:35","other",0.53,"other",36
"I just tried travel! It was amazing.","Eve","2025-02-13 18:21:40","travel",0.17,"travel",36
"I just loved a story! It was funny.","Charlie","2025-02-13 18:21:45","other",0.99,"other",35
"I just found a story! It was funny.","Alice","2025-02-13 18:21:50","other",0.91,"other",35
"I just found JavaScript! It was amazing.","Charlie","2025-02-13 18:21:55","tech",0.76,"JavaScript",40
"I just loved travel! It was exciting.","Eve","2025-02-13 18:22:00","travel",0.16,"travel",37
"I just found an app! It was amazing.","Eve","2025-02-13 18:22:05","other",0.82,"other",36
"I just saw Python! It was amazing.","Charlie","2025-02-13 18:22:10","tech",0.24,"Python",34
"I just found game! It was boring.","Alice","2025-02-13 18:22:15","gaming",0.92,"game",33
"I just saw a story! It was funny.","Eve","2025-02-13 18:22:20","other",0.22,"other",33
"I just tried a movie! It was funny.","Eve","2025-02-13 18:22:25","entertainment",0.07,"movie",35
"I just saw travel! It was weird.","Bob","2025-02-13 18:22:30","travel",0.58,"travel",32
"I just saw a meme! It was exciting.","Eve","2025-02-13 18:22:35","humor",0.19,"meme",35
"I just loved an app! It was boring.","Eve","2025-02-13 18:22:40","other",0.92,"other",35
"I just saw recipe! It was funny.","Alice","2025-02-13 18:22:45","food",0.79,"recipe",32
"I just saw a trick! It was amazing.","Eve","2025-02-13 18:22:50","other",0.33,"other",35
"I just saw JavaScript! It was exciting.","Charlie","2025-02-13 18:22:55","tech",0.79,"JavaScript",39
"I just loved game! It was boring.","Alice","2025-02-13 18:23:00","gaming",0.59,"game",33
"I just tried a movie! It was exciting.","Alice","2025-02-13 18:23:05","entertainment",0.63,"movie",38
"I just loved a trick! It was exciting.","Bob","2025-02-13 18:23:10","other",0.26,"other",38
"I just saw a trick! It was weird.","Eve","2025-02-13 18:23:15","other",0.45,"other",33
"I just loved a meme! It was boring.","Eve","2025-02-13 18:23:20","humor",0.15,"meme",35
"I just shared game! It was boring.","Bob","2025-02-13 18:23:25","gaming",0.38,"game",34
"I just found game! It was weird.","Alice","2025-02-13 18:23:30","gaming",0.32,"game",32
"I just shared Python! It was boring.","Alice","2025-02-13 18:23:35","tech",0.76,"Python",36
"I just loved a movie! It was weird.","Eve","2025-02-13 18:23:40","entertainment",0.71,"movie",35
"I just tried game! It was boring.","Alice","2025-02-13 18:23:45","gaming",0.77,"game",33
"I just saw recipe! It was exciting.","Eve","2025-02-13 18:23:50","food",0.88,"recipe",35
"I just saw game! It was weird.","Charlie","2025-02-13 18:23:55","gaming",0.02,"game",30
"I just shared a movie! It was weird.","Alice","2025-02-13 18:24:00","entertainment",0.81,"movie",36
"I just found an app! It was amazing.","Eve","2025-02-13 18:24:05","other",0.47,"other",36
"I just saw a meme! It was amazing.","Alice","2025-02-13 18:24:10","humor",0.46,"meme",34
"I just found game! It was amazing.","Bob","2025-02-13 18:24:15","gaming",0.12,"game",34
"I just found recipe! It was weird.","Charlie","2025-02-13 18:24:20","food",0.74,"recipe",34
"I just loved recipe! It was boring.","Alice","2025-02-13 18:24:25","food",0.56,"recipe",35
"I just saw travel! It was funny.","Bob","2025-02-13 18:24:30","travel",0.08,"travel",32
"I just tried a story! It was weird.","Charlie","2025-02-13 18:24:35","other",0.01,"other",35
"I just tried an app! It was weird.","Bob","2025-02-13 18:24:40","other",0.3,"other",34
"I just shared a movie! It was boring.","Alice","2025-02-13 18:24:45","entertainment",0.4,"movie",37
"I just saw a trick! It was boring.","Bob","2025-02-13 18:24:50","other",0.42,"other",34
"I just saw a movie! It was exciting.","Charlie","2025-02-13 18:24:55","entertainment",0.08,"movie",36
"I just saw a meme! It was exciting.","Alice","2025-02-13 18:25:00","humor",0.02,"meme",35
"I just loved Python! It was weird.","Eve","2025-02-13 18:25:05","tech",0.51,"Python",34
"I just loved recipe! It was weird.","Charlie","2025-02-13 18:25:10","food",0.07,"recipe",34
"I just tried a story! It was weird.","Eve","2025-02-13 18:25:15","other",0.22,"other",35
"I just shared a meme! It was amazing.","Charlie","2025-02-13 18:25:20","humor",0.39,"meme",37
"I just found recipe! It was exciting.","Eve","2025-02-13 18:25:25","food",0.02,"recipe",37
"I just loved a story! It was exciting.","Eve","2025-02-13 18:25:30","other",0.99,"other",38
"I just found travel! It was weird.","Charlie","2025-02-13 18:25:35","travel",0.21,"travel",34
"I just saw a trick! It was weird.","Alice","2025-02-13 18:25:40","other",0.31,"other",33
"I just shared a trick! It was weird.","Bob","2025-02-13 18:25:45","other",0.11,"other",36
"I just tried a movie! It was boring.","Bob","2025-02-13 18:25:50","entertainment",0.31,"movie",36
"I just found a meme! It was funny.","Bob","2025-02-13 18:25:55","humor",0.83,"meme",34
"I just loved recipe! It was exciting.","Eve","2025-02-13 18:26:00","food",0.24,"recipe",37
"I just tried a story! It was weird.","Alice","2025-02-13 18:26:05","other",0.72,"other",35
"I just saw JavaScript! It was funny.","Bob","2025-02-13 18:26:10","tech",0.64,"JavaScript",36
"I just saw a story! It was amazing.","Bob","2025-02-13 18:26:15","other",0.14,"other",35
"I just shared a meme! It was amazing.","Alice","2025-02-13 18:26:21","humor",0.97,"meme",37
"I just tried JavaScript! It was boring.","Charlie","2025-02-13 18:26:26","tech",0.52,"JavaScript",39
"I just shared travel! It was exciting.","Bob","2025-02-13 18:26:31","travel",0.75,"travel",38
"I just shared a meme! It was funny.","Charlie","2025-02-13 18:26:36","humor",0.9,"meme",35
"I just loved game! It was funny.","Bob","2025-02-13 18:26:41","gaming",0.66,"game",32
"I just saw travel! It was exciting.","Charlie","2025-02-13 18:26:46","travel",0.01,"travel",35
"I just loved a meme! It was boring.","Charlie","2025-02-13 18:26:51","humor",0.05,"meme",35
"I just loved a trick! It was amazing.","Eve","2025-02-13 18:26:56","other",0.91,"other",37
"I just found a meme! It was exciting.","Bob","2025-02-13 18:27:01","humor",0.17,"meme",37
"I just tried JavaScript! It was exciting.","Eve","2025-02-13 18:27:06","tech",0.44,"JavaScript",41
"I just found a trick! It was funny.","Bob","2025-02-13 18:27:11","other",0.92,"other",35
"I just found an app! It was exciting.","Bob","2025-02-13 18:27:16","other",0.09,"other",37
"I just shared Python! It was amazing.","Charlie","2025-02-13 18:27:21","tech",0.52,"Python",37
"I just loved a trick! It was boring.","Charlie","2025-02-13 18:27:26","other",0.77,"other",36
"I just loved JavaScript! It was weird.","Alice","2025-02-13 18:27:31","tech",0.4,"JavaScript",38
"I just shared an app! It was exciting.","Alice","2025-02-13 18:27:36","other",0.26,"other",38
"I just tried game! It was amazing.","Charlie","2025-02-13 18:27:41","gaming",0.43,"game",34
"I just loved travel! It was funny.","Alice","2025-02-13 18:27:46","travel",0.72,"travel",34
"I just found travel! It was boring.","Alice","2025-02-13 18:27:51","travel",0.71,"travel",35
"I just saw an app! It was boring.","Charlie","2025-02-13 18:27:56","other",0.83,"other",33
"I just tried JavaScript! It was funny.","Bob","2025-02-13 18:28:01","tech",0.9,"JavaScript",38
"I just shared a trick! It was funny.","Eve","2025-02-13 18:28:06","other",0.43,"other",36
"I just saw game! It was boring.","Eve","2025-02-13 18:34:15","gaming",0.42,"game",31
"I just shared travel! It was exciting.","Alice","2025-02-13 18:34:20","travel",0.56,"travel",38
"I just found a movie! It was funny.","Eve","2025-02-13 18:34:25","entertainment",0.25,"movie",35
"I just found a meme! It was amazing.","Bob","2025-02-13 18:34:30","humor",1.0,"meme",36
"I just tried Python! It was funny.","Eve","2025-02-13 18:34:35","tech",0.44,"Python",34
"I just shared a movie! It was boring.","Bob","2025-02-13 18:34:40","entertainment",0.01,"movie",37
"I just saw travel! It was boring.","Charlie","2025-02-13 18:34:45","travel",0.81,"travel",33
"I just tried recipe! It was weird.","Alice","2025-02-13 18:34:50","food",0.05,"recipe",34
"I just found an app! It was exciting.","Bob","2025-02-13 18:34:55","other",0.6,"other",37
"I just found an app! It was weird.","Bob","2025-02-13 18:35:00","other",0.38,"other",34
"I just shared game! It was weird.","Eve","2025-02-13 18:35:05","gaming",0.41,"game",33
"I just shared recipe! It was boring.","Alice","2025-02-13 18:35:10","food",0.94,"recipe",36
"I just found travel! It was funny.","Eve","2025-02-13 18:35:15","travel",0.81,"travel",34
"I just saw recipe! It was weird.","Eve","2025-02-13 18:35:20","food",0.23,"recipe",32
"I just saw a story! It was amazing.","Alice","2025-02-13 18:35:25","other",0.23,"other",35
"I just loved a story! It was weird.","Eve","2025-02-13 18:35:30","other",0.79,"other",35
"I just shared a story! It was exciting.","Charlie","2025-02-13 18:35:35","other",0.01,"other",39
"I just shared travel! It was amazing.","Bob","2025-02-13 18:35:40","travel",0.39,"travel",37
"I just shared Python! It was amazing.","Alice","2025-02-13 18:35:45","tech",0.22,"Python",37
"I just loved JavaScript! It was amazing.","Bob","2025-02-13 18:35:50","tech",0.52,"JavaScript",40
"I just loved Python! It was boring.","Bob","2025-02-13 18:35:55","tech",0.33,"Python",35
"I just saw a story! It was weird.","Alice","2025-02-13 18:36:00","other",0.15,"other",33
"I just saw game! It was weird.","Charlie","2025-02-13 18:36:05","gaming",0.98,"game",30
"I just shared travel! It was funny.","Charlie","2025-02-13 18:36:11","travel",0.03,"travel",35
"I just found game! It was boring.","Alice","2025-02-13 18:36:16","gaming",0.39,"game",33
"I just found a meme! It was exciting.","Alice","2025-02-13 18:36:21","humor",0.94,"meme",37
"I just shared a story! It was exciting.","Alice","2025-02-13 18:36:26","other",0.79,"other",39
"I just loved an app! It was boring.","Alice","2025-02-13 18:36:31","other",0.36,"other",35
"I just shared recipe! It was boring.","Bob","2025-02-13 18:36:36","food",0.95,"recipe",36
"I just tried game! It was amazing.","Bob","2025-02-13 18:36:41","gaming",0.07,"game",34
"I just saw Python! It was amazing.","Bob","2025-02-13 18:36:46","tech",0.57,"Python",34
"I just loved game! It was weird.","Alice","2025-02-13 18:36:51","gaming",0.64,"game",32
"I just tried JavaScript! It was exciting.","Eve","2025-02-13 18:36:56","tech",0.93,"JavaScript",41
"I just tried a movie! It was amazing.","Alice","2025-02-13 18:37:01","entertainment",0.4,"movie",37
"I just shared JavaScript! It was weird.","Charlie","2025-02-13 18:37:06","tech",0.17,"JavaScript",39
"I just found travel! It was weird.","Bob","2025-02-13 18:37:11","travel",0.05,"travel",34
"I just shared recipe! It was amazing.","Alice","2025-02-13 18:37:16","food",0.79,"recipe",37
"I just loved a trick! It was boring.","Alice","2025-02-13 18:37:21","other",0.12,"other",36
"I just tried JavaScript! It was amazing.","Eve","2025-02-13 18:37:26","tech",0.75,"JavaScript",40
"I just shared travel! It was weird.","Alice","2025-02-13 18:37:31","travel",0.95,"travel",35
"I just loved a story! It was exciting.","Bob","2025-02-13 18:37:36","other",0.98,"other",38
"I just found a meme! It was amazing.","Bob","2025-02-13 18:37:41","humor",0.82,"meme",36
"I just saw Python! It was boring.","Charlie","2025-02-13 18:37:46","tech",0.29,"Python",33
"I just loved a trick! It was amazing.","Eve","2025-02-13 18:37:51","other",0.77,"other",37
"I just found a movie! It was exciting.","Alice","2025-02-13 18:38:39","entertainment",0.28,"movie",38
"I just shared JavaScript! It was funny.","Charlie","2025-02-13 18:38:44","tech",0.27,"JavaScript",39
"I just shared a meme! It was funny.","Eve","2025-02-13 18:38:49","humor",0.5,"meme",35
"I just loved a movie! It was amazing.","Charlie","2025-02-13 18:38:54","entertainment",0.81,"movie",37
"I just tried game! It was boring.","Charlie","2025-02-13 18:38:59","gaming",0.54,"game",33
"I just shared an app! It was weird.","Charlie","2025-02-13 18:39:04","other",0.23,"other",35
"I just found JavaScript! It was weird.","Alice","2025-02-13 18:39:09","tech",0.84,"JavaScript",38
"I just loved a meme! It was exciting.","Bob","2025-02-13 18:39:14","humor",0.47,"meme",37
"I just saw a meme! It was amazing.","Alice","2025-02-13 18:39:19","humor",0.93,"meme",34
"I just loved recipe! It was amazing.","Charlie","2025-02-13 18:39:24","food",0.28,"recipe",36
"I just shared a meme! It was amazing.","Charlie","2025-02-13 18:39:29","humor",0.67,"meme",37
"I just saw a movie! It was weird.","Alice","2025-02-13 18:39:34","entertainment",0.65,"movie",33
"I just shared travel! It was exciting.","Alice","2025-02-13 18:39:39","travel",0.77,"travel",38
"I just saw recipe! It was weird.","Alice","2025-02-13 18:39:44","food",0.2,"recipe",32
"I just tried a trick! It was exciting.","Bob","2025-02-13 18:39:49","other",0.29,"other",38
"I just tried a trick! It was funny.","Eve","2025-02-13 18:39:54","other",0.94,"other",35
"I just found a movie! It was weird.","Bob","2025-02-13 18:39:59","entertainment",0.64,"movie",35
"I just tried a story! It was weird.","Bob","2025-02-13 18:40:04","other",0.5,"other",35
"I just tried game! It was amazing.","Alice","2025-02-13 18:40:09","gaming",0.47,"game",34
